"REF_DATE","GEO","DGUID","Educational qualification","Field of study","Gender","Age group","Status of student in Canada","Characteristics after graduation","Graduate statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Ontario","2016A000235","Doctoral degree","Computer and information sciences [a.32]","Total, gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083534284","7.23.12.1.3.1.4.2","64200","","","","0"
"2010","Ontario","2016A000235","Doctoral degree","Computer and information sciences [a.32]","Total, gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083534285","7.23.12.1.3.1.4.3","85000","","","","0"
"2010","Ontario","2016A000235","Doctoral degree","Computer and information sciences [a.32]","Male gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083534302","7.23.12.2.1.1.4.2","79100","","","","0"
"2010","Ontario","2016A000235","Doctoral degree","Computer and information sciences [a.32]","Male gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083534303","7.23.12.2.1.1.4.3","97100","","","","0"
"2010","Ontario","2016A000235","Doctoral degree","Computer and information sciences [a.32]","Male gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083534320","7.23.12.2.2.1.4.2","82800","","","","0"
"2010","Ontario","2016A000235","Doctoral degree","Computer and information sciences [a.32]","Male gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083534321","7.23.12.2.2.1.4.3","103100","","","","0"
"2010","Ontario","2016A000235","Doctoral degree","Computer and information sciences [a.32]","Male gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083534338","7.23.12.2.3.1.4.2","69600","","","","0"
"2010","Ontario","2016A000235","Doctoral degree","Computer and information sciences [a.32]","Male gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083534339","7.23.12.2.3.1.4.3","96400","","","","0"
"2010","Ontario","2016A000235","Doctoral degree","Computer and information sciences [a.32]","Female gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083534356","7.23.12.3.1.1.4.2","","x","","","0"
"2010","Ontario","2016A000235","Doctoral degree","Computer and information sciences [a.32]","Female gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083534357","7.23.12.3.1.1.4.3","","x","","","0"
"2010","Ontario","2016A000235","Doctoral degree","Computer and information sciences [a.32]","Female gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083534374","7.23.12.3.2.1.4.2","","x","","","0"
"2010","Ontario","2016A000235","Doctoral degree","Computer and information sciences [a.32]","Female gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083534375","7.23.12.3.2.1.4.3","","x","","","0"
"2010","Ontario","2016A000235","Doctoral degree","Computer and information sciences [a.32]","Female gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083534392","7.23.12.3.3.1.4.2","","x","","","0"
"2010","Ontario","2016A000235","Doctoral degree","Computer and information sciences [a.32]","Female gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083534393","7.23.12.3.3.1.4.3","","x","","","0"
"2011","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Total, gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083454220","7.11.12.1.1.1.4.2","58800","","","","0"
"2011","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Total, gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083454221","7.11.12.1.1.1.4.3","72800","","","","0"
